0,1,2,3,4,Cloud Cover,Maximum Temperature,Minimum Temperature,Precipitation,Relative Humidity,Snow Depth,Temperature,Visibility,Wind Chill,Wind Gust,Wind Speed
0.0,0.0,0.0,1.0,0.0,64.1,40.9,26.8,0.54,73.52,0.0,34.5,8.2,23.1,10.0,11.1
0.0,0.0,0.0,1.0,0.0,76.7,38.8,34.0,0.84,85.43,0.0,35.4,4.2,30.5,39.1,8.1
0.0,0.0,0.0,1.0,0.0,79.5,37.9,34.1,0.02,84.68,0.0,35.6,7.2,29.5,28.9,12.8
0.0,1.0,0.0,0.0,0.0,82.9,38.8,34.0,0.0,59.2,0.0,35.8,9.9,26.2,29.6,15.9
0.0,0.0,1.0,0.0,0.0,67.5,44.1,28.1,0.0,56.82,0.0,37.0,9.9,20.2,10.0,13.5
0.0,1.0,0.0,0.0,0.0,82.7,47.0,39.7,0.0,62.19,0.0,43.5,9.9,36.4,10.0,10.2
0.0,0.0,0.0,1.0,0.0,91.3,43.9,35.0,0.33,85.96,0.0,39.5,3.8,30.8,10.0,10.0
0.0,0.0,1.0,0.0,0.0,70.4,37.0,25.0,0.0,60.45,0.0,33.0,9.6,20.8,36.8,22.3
0.0,0.0,1.0,0.0,0.0,71.9,38.8,25.2,0.0,57.68,0.0,33.5,9.6,19.4,35.6,24.7
0.0,0.0,1.0,0.0,0.0,54.9,37.8,22.9,0.0,61.89,0.0,30.6,9.7,9.1,44.8,27.0
0.0,0.0,1.0,0.0,0.0,48.2,29.0,13.9,0.0,42.2,0.0,21.2,9.9,-1.4,31.1,19.4
0.0,0.0,0.0,1.0,0.0,87.0,45.9,29.9,0.01,57.04,0.0,37.4,9.9,18.5,29.7,17.0
0.0,1.0,0.0,0.0,0.0,80.0,65.9,46.0,0.0,66.71,0.0,57.7,9.9,43.0,34.1,21.8
0.0,0.0,0.0,1.0,0.0,75.5,65.0,30.8,0.15,66.55,0.0,51.3,9.6,22.7,38.9,25.1
0.0,1.0,0.0,0.0,0.0,84.5,39.8,29.8,0.0,72.85,0.0,35.5,9.9,24.8,21.9,14.9
0.0,0.0,1.0,0.0,0.0,68.5,46.9,29.9,0.0,63.97,0.0,40.1,9.9,25.9,24.2,14.7
0.0,0.0,0.0,1.0,0.0,70.2,42.0,25.9,0.21,65.85,1.18,34.9,7.5,12.6,39.1,22.8
0.0,0.0,1.0,0.0,0.0,26.4,24.9,10.0,0.0,46.18,0.0,15.0,9.9,-7.5,32.7,20.6
0.0,0.0,0.0,0.0,1.0,83.8,27.0,10.0,0.29,64.01,1.97,16.2,6.4,-1.7,27.4,17.1
0.0,1.0,0.0,0.0,0.0,76.7,37.9,17.9,0.0,69.51,3.15,29.4,8.7,4.1,38.2,27.3
0.0,0.0,1.0,0.0,0.0,27.4,20.9,8.8,0.0,52.6,1.97,16.6,9.9,-1.0,21.9,16.9
0.0,0.0,1.0,0.0,0.0,38.0,25.9,8.6,0.0,57.55,1.97,17.0,9.9,1.2,10.0,8.2
0.0,0.0,1.0,0.0,0.0,74.9,33.1,17.8,0.0,62.09,1.18,25.2,9.9,12.6,10.0,9.1
0.0,0.0,1.0,0.0,0.0,71.8,37.2,10.9,0.0,65.89,1.18,24.1,9.7,24.4,10.0,6.8
0.0,0.0,1.0,0.0,0.0,64.9,43.2,18.0,0.0,64.06,1.18,29.0,9.9,17.5,24.2,5.8
0.0,0.0,0.0,1.0,0.0,75.1,39.0,22.2,0.81,77.28,1.18,32.2,6.7,20.9,41.4,9.3
0.0,0.0,0.0,1.0,0.0,79.6,42.9,34.1,0.08,75.06,0.0,38.2,9.0,29.4,10.0,10.1
0.0,1.0,0.0,0.0,0.0,75.7,37.0,31.9,0.0,62.89,0.0,35.0,9.9,22.0,23.0,17.0
0.0,0.0,1.0,0.0,0.0,52.5,34.9,20.9,0.0,54.24,0.0,29.3,9.9,9.8,20.8,14.9
0.0,0.0,1.0,0.0,0.0,71.9,36.0,16.9,0.0,66.38,0.0,27.7,9.9,23.0,10.0,6.8
0.0,0.0,0.0,1.0,0.0,88.6,38.9,32.0,0.01,73.81,0.0,35.5,8.6,28.7,10.0,8.9
0.0,1.0,0.0,0.0,0.0,80.4,37.0,29.0,0.0,71.21,0.0,33.4,9.4,24.9,10.0,10.2
0.0,0.0,1.0,0.0,0.0,69.2,46.8,28.1,0.0,72.16,0.0,36.5,9.6,27.8,24.2,15.1
0.0,1.0,0.0,0.0,0.0,81.0,44.0,28.9,0.0,69.28,0.0,37.3,9.9,26.6,10.0,14.7
0.0,1.0,0.0,0.0,0.0,78.9,40.8,29.8,0.0,51.64,0.0,35.8,9.9,23.9,24.2,15.9
0.0,0.0,0.0,0.0,1.0,90.5,33.3,27.0,0.51,82.73,1.18,30.7,2.9,20.4,18.3,8.1
0.0,0.0,0.0,0.0,1.0,82.7,35.1,20.9,0.65,80.1,1.97,30.3,3.9,7.0,45.2,34.5
0.0,0.0,1.0,0.0,0.0,50.5,22.9,12.7,0.0,64.3,1.97,19.5,9.6,5.3,31.1,17.1
0.0,1.0,0.0,0.0,0.0,76.6,33.1,10.0,0.0,71.32,1.97,21.7,9.9,1.8,10.0,8.0
0.0,0.0,0.0,1.0,0.0,87.8,40.8,32.0,0.23,80.13,1.97,37.0,6.4,23.2,29.1,20.7
0.0,0.0,1.0,0.0,0.0,70.4,39.8,31.9,0.0,53.92,1.18,37.0,9.9,23.1,32.5,16.0
0.0,0.0,0.0,1.0,0.0,84.7,39.8,34.0,0.38,79.07,1.97,35.7,4.6,28.1,24.2,14.9
0.0,0.0,1.0,0.0,0.0,34.4,35.0,7.9,0.0,52.45,1.18,17.7,9.9,-4.4,37.9,21.6
0.0,0.0,1.0,0.0,0.0,31.7,26.9,4.7,0.0,50.59,1.18,16.4,10.0,-3.0,26.4,14.8
0.0,0.0,0.0,1.0,0.0,88.8,38.0,25.9,0.01,53.11,1.18,32.3,9.3,15.6,20.8,14.6
0.0,0.0,1.0,0.0,0.0,48.4,37.9,25.2,0.0,58.03,1.18,31.8,9.9,19.2,25.3,15.9
0.0,0.0,0.0,0.0,1.0,85.2,39.8,23.1,0.15,69.07,1.18,31.7,7.9,17.0,38.0,14.9
0.0,0.0,1.0,0.0,0.0,68.9,39.8,25.0,0.0,47.44,0.0,34.8,10.0,15.7,39.7,26.3
0.0,0.0,1.0,0.0,0.0,72.0,29.8,20.7,0.0,49.18,0.0,24.7,9.7,10.2,34.4,22.6
1.0,0.0,0.0,0.0,0.0,7.0,33.0,10.7,0.0,48.06,0.0,22.9,10.0,1.2,17.2,11.3
1.0,0.0,0.0,0.0,0.0,19.8,42.9,17.7,0.0,49.53,0.0,31.0,10.0,15.3,21.9,15.7
0.0,0.0,1.0,0.0,0.0,28.8,51.9,22.9,0.0,54.06,0.0,35.9,9.9,17.0,10.0,8.6
0.0,0.0,1.0,0.0,0.0,48.3,61.9,29.9,0.0,40.99,0.0,44.1,9.9,23.3,16.1,10.0
0.0,1.0,0.0,0.0,0.0,91.7,48.0,38.0,0.0,58.01,0.0,42.9,10.0,35.9,10.0,10.1
0.0,0.0,0.0,1.0,0.0,83.8,39.7,35.9,0.11,77.67,0.0,37.2,6.7,30.4,27.7,7.8
0.0,0.0,0.0,1.0,0.0,70.5,41.0,28.0,0.62,64.16,0.0,34.6,8.3,15.7,43.2,28.4
0.0,0.0,1.0,0.0,0.0,69.3,33.9,25.1,0.0,42.98,0.0,29.3,9.9,13.1,34.8,20.6
0.0,0.0,1.0,0.0,0.0,54.5,28.8,19.9,0.0,54.19,0.0,24.4,9.5,7.2,37.5,28.5
0.0,0.0,1.0,0.0,0.0,32.9,35.9,16.9,0.0,52.18,0.0,26.5,9.9,9.2,21.9,17.0
0.0,0.0,1.0,0.0,0.0,72.4,56.9,29.8,0.0,41.5,0.0,44.4,9.9,23.0,30.0,18.0
0.0,0.0,0.0,1.0,0.0,74.6,62.0,37.3,0.14,61.28,0.0,50.5,9.9,38.5,34.6,20.4
0.0,0.0,0.0,1.0,0.0,68.4,48.8,38.9,0.01,54.14,0.0,43.9,9.9,31.2,44.0,28.4
0.0,0.0,1.0,0.0,0.0,62.3,46.9,30.7,0.0,54.11,0.0,39.3,10.0,26.3,27.7,17.0
0.0,0.0,1.0,0.0,0.0,60.9,47.9,26.9,0.0,61.38,0.0,37.1,9.6,23.6,29.3,18.0
0.0,0.0,1.0,0.0,0.0,32.2,44.8,26.8,0.0,43.88,0.0,34.1,9.8,16.5,28.9,17.1
0.0,0.0,1.0,0.0,0.0,46.1,57.7,26.9,0.0,40.48,0.0,40.6,9.9,21.4,20.8,13.7
0.0,0.0,1.0,0.0,0.0,61.1,73.9,39.6,0.0,26.36,0.0,57.7,10.0,37.6,20.7,13.7
0.0,0.0,0.0,1.0,0.0,88.9,61.9,48.0,0.15,46.42,0.0,57.5,9.8,40.8,33.3,20.6
0.0,0.0,1.0,0.0,0.0,59.0,46.0,35.0,0.0,52.05,0.0,41.0,9.9,26.2,39.9,28.6
0.0,1.0,0.0,0.0,0.0,82.6,52.0,34.0,0.0,51.72,0.0,42.2,9.9,28.9,23.9,16.1
0.0,0.0,0.0,1.0,0.0,68.7,55.0,40.9,0.24,65.27,0.0,47.1,8.9,34.3,43.8,24.2
0.0,0.0,1.0,0.0,0.0,64.7,44.9,38.8,0.0,46.87,0.0,41.4,10.0,29.8,35.8,23.0
0.0,0.0,1.0,0.0,0.0,39.3,46.9,29.0,0.0,44.92,0.0,37.8,9.9,19.3,21.9,13.6
0.0,0.0,1.0,0.0,0.0,45.3,46.0,21.7,0.0,37.67,0.0,33.6,10.0,16.3,30.6,17.0
0.0,0.0,0.0,1.0,0.0,82.3,48.7,35.0,0.02,68.71,0.0,40.9,9.0,25.9,27.5,18.1
0.0,0.0,1.0,0.0,0.0,47.4,52.9,31.9,0.0,37.7,0.0,43.6,10.0,24.8,17.2,11.3
0.0,0.0,0.0,1.0,0.0,81.3,51.0,38.0,0.57,71.51,0.0,44.8,8.0,32.4,21.9,13.7
0.0,0.0,0.0,1.0,0.0,87.5,73.0,44.9,0.13,71.47,0.0,52.6,9.6,39.5,40.3,20.8
0.0,0.0,1.0,0.0,0.0,40.8,46.0,30.7,0.0,43.61,0.0,39.6,9.9,22.1,33.1,22.8
1.0,0.0,0.0,0.0,0.0,23.4,41.0,22.8,0.0,34.03,0.0,31.8,10.0,13.1,21.9,13.6
0.0,0.0,0.0,1.0,0.0,81.6,37.0,32.0,0.61,66.27,5.91,34.2,5.0,24.0,28.9,15.8
0.0,1.0,0.0,0.0,0.0,80.3,42.1,33.1,0.0,72.67,5.12,37.2,9.5,26.2,10.0,8.1
0.0,0.0,1.0,0.0,0.0,69.3,46.9,29.5,0.0,68.02,1.18,38.6,9.2,30.2,10.0,6.9
0.0,0.0,1.0,0.0,0.0,35.8,58.9,28.9,0.0,60.03,0.0,44.6,9.9,31.8,20.8,14.7
0.0,0.0,1.0,0.0,0.0,38.0,60.1,44.0,0.0,48.97,0.0,51.8,9.9,37.4,27.7,17.0
0.0,0.0,0.0,1.0,0.0,60.1,51.2,30.8,0.24,67.18,0.0,41.2,8.6,26.0,10.0,10.2
0.0,0.0,0.0,1.0,0.0,84.6,51.1,43.0,0.55,80.35,0.0,46.4,6.6,41.3,30.0,14.7
0.0,0.0,0.0,1.0,0.0,82.8,46.8,40.9,0.12,76.64,0.0,44.2,9.7,35.2,24.2,13.9
0.0,0.0,0.0,1.0,0.0,79.3,47.8,38.0,0.09,69.48,0.0,42.7,9.9,35.0,10.0,6.9
0.0,0.0,1.0,0.0,0.0,57.4,55.0,33.1,0.0,47.51,0.0,43.6,10.0,29.8,25.3,16.9
0.0,0.0,0.0,1.0,0.0,79.6,56.6,38.9,0.02,55.91,0.0,45.5,10.0,32.1,31.1,21.8
0.0,0.0,0.0,1.0,0.0,86.8,51.1,42.1,0.21,76.5,0.0,46.5,9.3,36.7,20.6,12.7
0.0,1.0,0.0,0.0,0.0,77.7,62.0,46.3,0.0,61.98,0.0,53.8,9.9,43.3,10.0,7.8
0.0,0.0,1.0,0.0,0.0,73.5,61.8,48.7,0.0,64.78,0.0,54.3,9.9,48.0,23.0,15.8
0.0,0.0,1.0,0.0,0.0,63.2,64.0,42.1,0.0,35.86,0.0,55.0,10.0,44.7,24.2,17.1
0.0,0.0,0.0,1.0,0.0,71.0,58.9,44.9,0.2,63.71,0.0,50.8,9.5,41.2,10.0,14.6
0.0,0.0,0.0,1.0,0.0,60.3,51.1,42.1,0.28,68.46,0.0,46.0,9.0,34.5,46.0,23.9
0.0,0.0,1.0,0.0,0.0,62.5,46.9,37.1,0.0,56.29,0.0,41.9,9.9,28.9,41.1,28.5
0.0,0.0,1.0,0.0,0.0,46.7,48.7,35.9,0.0,49.36,0.0,42.1,9.9,27.0,35.7,22.9
0.0,0.0,1.0,0.0,0.0,55.3,62.9,29.8,0.0,43.57,0.0,48.1,10.0,26.5,26.0,18.0
0.0,1.0,0.0,0.0,0.0,77.8,51.1,42.1,0.0,38.74,0.0,46.9,10.0,38.0,34.1,20.7
0.0,0.0,0.0,1.0,0.0,59.2,43.9,33.1,0.01,52.3,0.0,38.1,9.5,24.5,36.8,23.9
0.0,0.0,0.0,1.0,0.0,68.9,48.7,29.0,0.05,52.84,0.0,39.7,9.5,21.7,25.3,17.1
0.0,0.0,0.0,1.0,0.0,65.5,47.9,34.0,0.26,69.47,0.0,39.6,6.2,28.6,10.0,14.7
0.0,0.0,1.0,0.0,0.0,52.6,66.6,29.9,0.0,48.82,0.0,48.8,9.9,29.5,34.4,18.3
0.0,0.0,1.0,0.0,0.0,49.0,53.9,38.8,0.0,47.04,0.0,46.0,9.9,34.9,19.7,13.7
0.0,0.0,0.0,1.0,0.0,44.7,51.2,33.0,0.16,56.82,0.0,41.2,9.3,28.5,43.6,21.2
0.0,0.0,1.0,0.0,0.0,50.6,43.9,30.8,0.0,45.04,0.0,36.8,9.6,18.6,46.7,34.1
0.0,0.0,1.0,0.0,0.0,46.9,55.0,29.0,0.0,38.04,0.0,41.6,10.0,23.8,20.8,13.5
0.0,0.0,0.0,1.0,0.0,75.0,52.9,40.9,0.05,49.66,0.0,45.6,9.9,38.4,10.0,7.8
0.0,0.0,1.0,0.0,0.0,68.1,65.8,39.7,0.0,40.22,0.0,53.8,10.0,39.2,10.0,6.8
0.0,0.0,0.0,1.0,0.0,84.9,55.8,38.9,0.36,52.66,0.0,49.1,9.0,31.7,23.0,15.9
0.0,0.0,0.0,1.0,0.0,91.6,46.0,37.1,0.43,77.87,0.0,42.0,9.4,30.5,24.2,16.9
0.0,0.0,0.0,1.0,0.0,53.2,61.9,38.9,0.01,55.66,0.0,49.5,10.0,34.6,20.8,14.8
0.0,0.0,1.0,0.0,0.0,66.4,65.0,38.9,0.0,46.35,0.0,53.0,10.0,37.9,28.8,18.2
0.0,0.0,0.0,1.0,0.0,84.4,57.7,47.0,0.25,65.59,0.0,52.3,8.7,41.3,39.1,21.0
0.0,0.0,0.0,1.0,0.0,72.7,61.1,53.9,0.46,79.11,0.0,57.5,8.3,10.0,30.0,14.7
0.0,0.0,1.0,0.0,0.0,36.6,71.0,44.1,0.0,48.42,0.0,58.4,10.0,39.5,24.2,18.0
0.0,0.0,0.0,1.0,0.0,58.1,78.0,55.2,0.01,43.61,0.0,67.1,10.0,10.0,31.1,20.5
0.0,0.0,1.0,0.0,0.0,62.3,62.9,47.0,0.0,48.54,0.0,54.5,10.0,41.8,32.8,21.5
0.0,0.0,1.0,0.0,0.0,39.2,57.8,38.0,0.0,44.19,0.0,48.0,10.0,30.6,23.0,17.0
0.0,0.0,1.0,0.0,0.0,59.6,56.9,37.1,0.0,47.94,0.0,49.1,9.9,39.1,10.0,7.0
0.0,0.0,0.0,1.0,0.0,63.0,64.0,43.8,0.08,38.36,0.0,54.7,9.8,42.3,33.3,20.3
0.0,0.0,0.0,1.0,0.0,61.8,56.8,35.9,0.07,53.82,0.0,46.8,9.2,29.6,24.2,17.0
0.0,0.0,0.0,1.0,0.0,59.3,42.9,33.1,0.06,54.14,0.0,37.6,9.2,23.4,38.0,30.6
0.0,0.0,1.0,0.0,0.0,72.4,56.7,37.1,0.0,48.53,0.0,47.0,10.0,30.0,31.7,19.4
0.0,0.0,0.0,1.0,0.0,69.1,60.8,37.9,0.2,69.97,0.0,46.6,9.3,33.9,38.6,27.2
0.0,0.0,1.0,0.0,0.0,72.0,51.9,38.0,0.0,46.89,0.0,45.3,10.0,29.6,40.3,26.0
0.0,0.0,1.0,0.0,0.0,26.4,57.8,29.8,0.0,44.94,0.0,46.9,10.0,29.9,30.2,20.5
0.0,0.0,1.0,0.0,0.0,60.4,70.0,33.9,0.0,34.7,0.0,54.9,10.0,29.7,10.0,10.3
0.0,0.0,0.0,1.0,0.0,71.6,83.9,56.9,0.22,64.08,0.0,67.5,9.4,10.0,42.8,17.1
0.0,0.0,1.0,0.0,0.0,54.4,71.9,56.0,0.0,58.18,0.0,64.8,10.0,10.0,20.8,17.0
0.0,0.0,1.0,0.0,0.0,74.5,72.9,54.0,0.0,58.03,0.0,62.9,10.0,10.0,18.3,12.4
0.0,0.0,0.0,1.0,0.0,79.6,67.9,55.1,0.19,69.87,0.0,60.8,8.7,10.0,10.0,9.0
0.0,0.0,1.0,0.0,0.0,63.0,70.0,52.0,0.0,33.23,0.0,61.8,9.9,10.0,19.7,11.4
0.0,0.0,1.0,0.0,0.0,39.8,74.0,44.8,0.0,39.44,0.0,61.8,10.0,10.0,19.7,12.4
0.0,0.0,1.0,0.0,0.0,50.2,77.0,47.7,0.0,31.49,0.0,63.3,10.0,45.1,21.9,14.7
1.0,0.0,0.0,0.0,0.0,22.8,82.0,56.6,0.0,54.75,0.0,69.9,10.0,10.0,10.0,12.5
0.0,0.0,1.0,0.0,0.0,59.3,83.7,64.8,0.0,52.01,0.0,73.6,9.9,10.0,31.1,12.8
0.0,0.0,1.0,0.0,0.0,34.3,79.0,50.0,0.0,33.56,0.0,65.9,10.0,10.0,26.4,12.6
0.0,0.0,1.0,0.0,0.0,44.4,79.0,55.8,0.0,59.72,0.0,67.6,10.0,10.0,25.3,17.1
0.0,0.0,1.0,0.0,0.0,36.8,89.0,63.9,0.0,59.08,0.0,76.2,9.9,10.0,23.0,12.4
0.0,0.0,1.0,0.0,0.0,36.1,88.0,67.8,0.0,57.6,0.0,77.7,9.9,10.0,23.0,15.9
0.0,1.0,0.0,0.0,0.0,77.0,82.0,69.0,0.0,68.67,0.0,74.8,10.0,10.0,28.9,19.5
0.0,0.0,0.0,1.0,0.0,79.4,89.0,72.0,0.35,72.04,0.0,77.4,9.6,10.0,33.3,19.0
0.0,0.0,0.0,1.0,0.0,61.1,76.9,59.0,0.06,63.84,0.0,68.2,9.7,10.0,40.3,24.6
0.0,0.0,1.0,0.0,0.0,54.9,61.9,49.9,0.0,51.32,0.0,56.4,9.9,45.6,34.4,20.6
0.0,0.0,1.0,0.0,0.0,70.6,66.2,42.8,0.0,53.38,0.0,55.0,10.0,43.7,31.1,13.8
0.0,0.0,0.0,1.0,0.0,68.2,69.1,46.9,0.02,59.66,0.0,58.9,9.9,10.0,10.0,9.0
0.0,0.0,1.0,0.0,0.0,47.1,87.9,58.9,0.0,55.84,0.0,75.1,10.0,10.0,20.8,10.2
0.0,0.0,0.0,1.0,0.0,68.7,83.8,70.8,0.07,62.67,0.0,76.8,9.8,10.0,20.8,14.7
0.0,0.0,1.0,0.0,0.0,44.6,84.8,61.9,0.0,58.41,0.0,75.6,10.0,10.0,36.8,22.8
0.0,0.0,1.0,0.0,0.0,53.4,72.9,55.0,0.0,51.72,0.0,64.5,10.0,10.0,30.0,13.6
0.0,0.0,1.0,0.0,0.0,41.5,79.9,49.8,0.0,47.34,0.0,66.3,10.0,10.0,25.3,13.6
